,Compound Score,Negative Score,Neutral Score,News_organization,Positive Score,Tweets Ago
0,-0.1027,0.172,0.677,Fox,0.151,1
1,0.5423,0.0,0.8,Fox,0.2,2
2,-0.1945,0.153,0.728,Fox,0.118,3
3,0.8316,0.0,0.596,Fox,0.404,4
4,0.5267,0.0,0.833,Fox,0.167,5
5,0.7717,0.0,0.676,Fox,0.324,6
6,0.5719,0.0,0.812,Fox,0.188,7
7,0.9201,0.0,0.536,Fox,0.464,8
8,0.0,0.0,1.0,Fox,0.0,9
9,0.4019,0.0,0.847,Fox,0.153,10
10,0.0,0.0,1.0,Fox,0.0,11
11,0.4404,0.0,0.868,Fox,0.132,12
12,0.7574,0.0,0.755,Fox,0.245,13
13,0.6696,0.0,0.421,Fox,0.579,14
14,0.6114,0.0,0.375,Fox,0.625,15
15,0.7574,0.0,0.724,Fox,0.276,16
16,0.9119,0.0,0.463,Fox,0.537,17
17,0.5095,0.0,0.852,Fox,0.148,18
18,0.8395,0.0,0.438,Fox,0.562,19
19,0.4199,0.0,0.642,Fox,0.358,20
20,-0.1027,0.172,0.677,Fox,0.151,21
21,0.5423,0.0,0.8,Fox,0.2,22
22,-0.1945,0.153,0.728,Fox,0.118,23
23,0.8316,0.0,0.596,Fox,0.404,24
24,0.5267,0.0,0.833,Fox,0.167,25
25,0.7717,0.0,0.676,Fox,0.324,26
26,0.5719,0.0,0.812,Fox,0.188,27
27,0.9201,0.0,0.536,Fox,0.464,28
28,0.0,0.0,1.0,Fox,0.0,29
29,0.4019,0.0,0.847,Fox,0.153,30
30,0.0,0.0,1.0,Fox,0.0,31
31,0.4404,0.0,0.868,Fox,0.132,32
32,0.7574,0.0,0.755,Fox,0.245,33
33,0.6696,0.0,0.421,Fox,0.579,34
34,0.6114,0.0,0.375,Fox,0.625,35
35,0.7574,0.0,0.724,Fox,0.276,36
36,0.9119,0.0,0.463,Fox,0.537,37
37,0.5095,0.0,0.852,Fox,0.148,38
38,0.8395,0.0,0.438,Fox,0.562,39
39,0.4199,0.0,0.642,Fox,0.358,40
40,0.5106,0.0,0.809,Fox,0.191,41
41,0.0,0.0,1.0,Fox,0.0,42
42,0.6908,0.0,0.149,Fox,0.851,43
43,-0.2732,0.094,0.858,Fox,0.047,44
44,0.3182,0.0,0.813,Fox,0.187,45
45,0.6705,0.0,0.766,Fox,0.234,46
46,0.4404,0.0,0.775,Fox,0.225,47
47,-0.8714,0.368,0.632,Fox,0.0,48
48,0.4215,0.0,0.741,Fox,0.259,49
